Segment #	CM Energy (MeV)	CM Angle (degrees)	CM Cross Section (barns)	Chi-Squared of Point
2	3.04369	125.318	0.044457	0.274198
2	3.06647	125.318	0.0299978	2.04936
2	3.09955	125.318	0.0187936	4.63522
2	3.13565	125.318	0.0126416	2.94568
2	3.17003	125.318	0.00933512	0.0177098
2	3.20226	125.318	0.00866013	0.0314372
2	3.23663	125.318	0.00820442	0.814576
2	3.25081	125.318	0.00885543	0.583515
2	3.27015	125.318	0.00862586	1.9647
2	1.4069	116.607	0.0387969	4.33712
2	1.43483	116.607	0.0374803	3.72912
2	1.45932	116.607	0.036822	3.40268
2	1.48897	116.607	0.0350735	0.963156
2	1.51604	116.607	0.0368015	10.2592
2	1.54269	116.607	0.0343947	2.16458
2	1.56718	116.607	0.0339421	2.37144
2	1.59812	116.607	0.0352586	9.45127
2	1.62519	116.607	0.0339421	2.52164
2	1.65226	116.607	0.0332838	2.63492
2	1.6802	116.607	0.0328313	3.38336
2	1.70856	116.607	0.0312884	0.689616
2	1.73563	116.607	0.0310622	0.559449
2	1.7627	116.607	0.0312679	0.925223
2	1.79192	116.607	0.0310416	1.33087
2	1.82028	116.607	0.0299513	0.109312
2	1.84865	116.607	0.030157	0.646129
2	1.87572	116.607	0.031021	2.46994
2	1.90623	116.607	0.030589	2.30606
2	1.93459	116.607	0.0299102	0.513223
2	1.96424	116.607	0.0305685	1.27548
2	1.99475	116.607	0.0301159	0.894114
2	2.0244	116.607	0.0305479	1.19673
2	2.05405	116.607	0.0303216	1.57578
2	2.0837	116.607	0.0312062	1.57225
2	2.11421	116.607	0.0287788	0.18603
2	2.14386	116.607	0.0300953	0.178973
2	2.1748	116.607	0.030733	0.419376
2	2.20574	116.607	0.0302805	0.00486259
2	2.23625	116.607	0.0305067	0.00152318
2	2.26719	116.607	0.032893	3.05268
2	2.29813	116.607	0.0322347	0.467962
2	2.32907	116.607	0.0320084	0.00250161
2	2.36087	116.607	0.0322141	0.263982
2	2.39052	116.607	0.0348472	1.57964
2	2.42404	116.607	0.0341684	0.0753009
2	2.45498	116.607	0.0350324	0.187059
2	2.48549	116.607	0.0365546	0.0434612
2	2.51772	116.607	0.0387351	0.11053
2	2.54866	116.607	0.0413477	0.94466
2	2.58217	116.607	0.0435282	0.870452
2	2.62558	116.607	0.046367	0.0962492
2	2.65136	116.607	0.0481155	0.121334
2	2.6578	116.607	0.0487738	0.163568
2	2.68488	116.607	0.0527028	0.0158976
2	2.69132	116.607	0.0546571	0.240414
2	2.72355	116.607	0.0610135	0.780301
2	2.75062	116.607	0.0675551	1.18233
2	2.75707	116.607	0.0688716	0.833391
2	2.78414	116.607	0.0741172	0.192524
2	2.7893	116.607	0.0793628	1.07084
2	2.81508	116.607	0.0883317	0.0997244
2	2.82539	116.607	0.0962104	1.55237
2	2.84602	116.607	0.109993	2.48393
2	2.85376	116.607	0.114992	1.96974
2	2.86665	116.607	0.130297	6.81606
2	2.88598	116.607	0.141281	0.73258
2	2.89243	116.607	0.148296	0.857498
2	2.89501	116.607	0.151793	1.17159
2	2.90532	116.607	0.161585	0.554603
2	2.91435	116.607	0.168188	0.00522446
2	2.9238	116.607	0.174483	0.379471
2	2.93153	116.607	0.188492	0.416085
2	2.9354	116.607	0.190487	0.206329
2	2.94572	116.607	0.193285	0.00135188
2	2.9599	116.607	0.191392	0.0621461
2	2.9672	116.607	0.183884	0.513649
2	2.96978	116.607	0.175985	3.10258
2	2.97623	116.607	0.171377	1.31878
2	2.98138	116.607	0.165987	0.453578
2	2.9874	116.607	0.151793	2.3112
2	2.99255	116.607	0.144079	1.16834
2	2.99771	116.607	0.131387	3.09795
2	3.00416	116.607	0.121081	1.23556
2	3.00888	116.607	0.108183	5.15898
2	3.01404	116.607	0.103986	0.222073
2	3.02049	116.607	0.0867478	6.73597
2	3.03939	116.607	0.0659505	0.686786
2	3.04197	116.607	0.0624535	0.57798
2	3.05873	116.607	0.0440836	0.242663
2	3.06604	116.607	0.0394757	2.17785
2	3.0828	116.607	0.0307125	5.2805
2	3.09053	116.607	0.0250349	1.69888
2	3.10471	116.607	0.0195589	0.357533
2	3.11373	116.607	0.017798	1.29373
2	3.12749	116.607	0.015169	2.25285
2	3.13393	116.607	0.0123282	0.0170424
2	3.15069	116.607	0.0101394	0.000455162
2	3.18421	116.607	0.00815639	0.0101793
2	3.17003	116.607	0.0081605	0.148175
2	3.20226	116.607	0.00815228	0.281676
2	3.21902	116.607	0.00683573	0.142627
2	3.23535	116.607	0.00661151	0.567358
2	3.26886	116.607	0.00704144	0.526828
440.727

3	0.327015	0	1.74e-07	4.62296
3	0.425979	0	3.78e-07	4.15414
3	0.517982	0	6.26e-07	6.34915
3	0.58201	0	7.61e-07	0.12438
3	0.701987	0	1.09e-06	0.332099
3	0.796998	0	1.36e-06	0.368385
3	1.22998	0	2.5e-06	1.09882
3	1.22998	0	2.46e-06	4.34482
21.3948

4	0.327402	0	1.227e-07	2.7491
4	0.425979	0	2.569e-07	0.0758874
4	0.517982	0	4.297e-07	1.13755
4	0.581494	0	5.323e-07	0.918014
4	0.702417	0	7.795e-07	0.200654
4	0.796783	0	9.741e-07	0.475743
4	1.23372	0	1.723e-06	11.1815
4	1.23471	0	1.788e-06	1.04896
17.7874

5	0.327402	0	5.03e-08	1.01162
5	0.425979	0	1.041e-07	0.769357
5	0.517982	0	1.693e-07	2.11647
5	0.581494	0	2.247e-07	0.118503
5	0.702417	0	3.305e-07	1.58151
